Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
314085 Matias Cardoso;0;4;4;2;1;1;5;7;0;2;2;1;0;0;0;0;1;0;0;30
314090 Matipó;7;75;82;58;49;112;137;139;133;70;58;58;39;29;21;19;14;16;0;1.116
314100 Mato Verde;4;12;12;9;12;9;20;28;18;9;20;21;11;7;6;2;2;3;0;205
314110 Matozinhos;103;623;727;639;650;765;798;941;938;643;580;490;289;165;129;88;74;94;0;8.736
314120 Matutina;5;11;14;5;11;20;32;22;21;12;7;11;11;8;7;8;4;5;0;214
314130 Medeiros;1;11;3;5;5;11;19;14;4;4;4;7;3;1;2;4;3;4;0;105
314140 Medina;14;50;48;31;28;29;45;67;63;43;29;21;24;17;17;18;8;24;0;576
314150 Mendes Pimentel;3;17;22;25;19;19;21;28;26;19;26;25;15;17;16;8;5;9;0;320
314160 Mercês;3;22;26;36;17;36;34;53;38;30;34;35;38;25;32;12;24;40;0;535
314170 Mesquita;9;59;61;48;49;61;76;80;72;54;50;39;33;19;20;10;6;9;0;755
314180 Minas Novas;5;48;54;48;44;58;92;85;75;44;44;38;27;16;12;14;7;12;0;723
314190 Minduri;1;17;20;16;19;30;28;26;26;24;33;28;28;25;22;12;11;19;0;385
314200 Mirabela;1;6;7;6;14;18;12;15;8;9;7;10;10;5;2;4;0;1;0;135
314210 Miradouro;3;45;32;42;29;17;34;51;54;36;37;22;22;27;14;12;8;16;0;501
314220 Miraí;8;37;47;37;31;42;60;73;65;48;47;32;54;38;26;17;9;27;0;698
314225 Miravânia;0;1;0;2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;5
314230 Moeda;7;31;57;47;48;69;106;77;94;83;61;54;35;14;18;13;19;15;0;848
314240 Moema;13;60;56;47;38;38;61;61;63;49;50;37;29;30;20;18;21;14;0;705
314250 Monjolos;1;0;0;1;0;1;5;1;0;0;2;0;1;0;0;0;0;0;0;12
314260 Monsenhor Paulo;6;26;26;27;33;33;40;61;61;47;45;34;31;29;19;17;11;20;0;566
314270 Montalvânia;3;9;13;10;5;12;16;18;17;14;8;7;9;3;13;3;1;2;0;163
314280 Monte Alegre de Minas;15;70;85;71;79;101;74;109;107;94;106;110;83;55;32;19;18;31;0;1.259
314290 Monte Azul;3;17;21;24;25;21;26;51;35;24;20;24;30;26;7;9;4;3;0;370
314300 Monte Belo;12;113;199;220;266;210;223;240;261;205;218;202;122;72;39;30;23;28;0;2.683
314310 Monte Carmelo;59;440;428;373;380;498;623;652;658;523;497;442;364;321;276;179;144;158;19;7.034
314315 Monte Formoso;0;1;1;0;0;1;4;5;1;0;1;0;1;2;1;1;0;0;0;19
314320 Monte Santo de Minas;16;102;99;84;137;140;148;106;125;122;139;146;130;130;89;64;44;84;0;1.905
314340 Monte Sião;21;97;139;135;108;80;144;178;165;150;129;113;134;87;81;61;51;62;0;1.935
314330 Montes Claros;1.139;5.997;6.232;5.204;5.384;7.581;8.690;9.280;8.587;6.346;5.248;4.481;3.358;2.648;1.889;1.406;1.052;1.567;20;86.109
314345 Montezuma;1;5;3;5;3;2;5;3;2;8;5;1;1;0;1;0;0;0;0;45
314350 Morada Nova de Minas;4;22;26;25;27;20;50;44;44;34;39;34;24;29;28;15;34;30;0;529
314360 Morro da Garça;0;4;3;5;2;4;7;9;10;6;5;6;5;3;3;6;1;3;0;82
314370 Morro do Pilar;1;9;18;9;8;16;23;26;21;8;8;4;8;8;4;7;4;8;0;190
314380 Munhoz;5;27;23;15;14;18;41;32;18;10;18;7;9;8;5;2;2;5;0;259
314390 Muriaé;317;1.453;1.432;1.103;927;1.015;1.501;1.862;1.747;1.352;1.174;1.059;925;774;579;383;378;612;0;18.593
314400 Mutum;2;25;22;24;21;39;46;57;41;24;28;25;28;25;17;8;4;11;0;447
314410 Muzambinho;23;87;94;95;73;107;145;171;169;113;111;103;117;97;75;65;56;71;0;1.772
314420 Nacip Raydan;0;7;4;3;3;7;6;6;7;5;5;5;2;1;2;0;1;2;0;66
314430 Nanuque;71;346;372;259;236;290;424;485;452;320;272;289;263;202;136;145;107;201;0;4.870
314435 Naque;13;71;78;56;61;74;75;75;69;68;63;49;31;13;8;7;4;8;0;823
314437 Natalândia;2;5;2;6;0;5;7;3;9;7;4;1;0;1;2;0;0;0;0;54
314440 Natércia;7;8;17;5;12;13;24;20;24;11;14;10;8;3;8;7;5;6;0;202
314450 Nazareno;10;60;71;66;45;52;81;95;80;57;49;37;25;14;13;5;11;21;0;792
314460 Nepomuceno;34;169;193;166;158;193;242;319;287;236;195;172;157;122;82;95;59;104;0;2.983
314465 Ninheira;0;1;1;2;0;1;0;1;0;2;1;0;0;0;0;0;0;0;0;9
314467 Nova Belém;0;5;2;2;1;4;7;7;3;1;3;3;4;0;0;0;1;0;0;43
314470 Nova Era;72;393;436;402;406;358;561;566;623;471;470;517;492;439;346;269;209;327;0;7.357
314480 Nova Lima;526;2.505;2.765;2.356;2.421;2.568;3.315;4.150;4.709;3.828;3.304;3.010;2.436;1.760;1.346;862;633;764;0;43.258
314490 Nova Módica;0;10;6;3;6;6;15;9;7;4;3;7;8;6;1;6;3;5;0;105
314500 Nova Ponte;68;274;372;338;272;320;434;489;435;325;248;207;101;55;31;23;25;16;0;4.033
314505 Nova Porteirinha;1;12;14;7;6;10;13;19;23;8;12;16;19;3;0;0;0;0;0;163
314510 Nova Resende;15;53;47;22;31;53;67;69;56;35;24;15;17;17;10;9;3;7;0;550
314520 Nova Serrana;229;1.276;1.401;1.342;1.430;1.831;2.140;2.261;2.013;1.601;1.357;1.275;1.082;707;450;338;234;238;0;21.205
313660 Nova União;3;31;26;21;31;39;31;43;46;42;34;30;21;21;16;6;7;11;0;459
314530 Novo Cruzeiro;14;52;45;34;26;39;66;60;60;30;26;26;11;19;22;14;7;9;0;560
314535 Novo Oriente de Minas;7;24;16;12;12;15;26;31;21;12;12;16;10;3;0;7;2;4;0;230
314537 Novorizonte;1;3;3;0;0;6;7;5;4;1;1;1;0;0;0;0;0;0;0;32
314540 Olaria;2;4;2;3;3;4;5;5;9;9;8;9;2;2;4;0;1;0;0;72
314545 Olhos-d'Água;2;5;7;5;4;7;19;19;12;12;7;11;7;4;0;0;0;0;0;121
314550 Olímpio Noronha;0;15;19;26;30;24;32;37;52;35;31;26;46;36;22;17;12;18;0;478
314560 Oliveira;94;523;589;572;576;768;820;845;823;630;557;613;527;460;333;272;208;343;0;9.553
314570 Oliveira Fortes;2;2;7;4;7;7;7;9;7;6;2;9;7;4;3;4;3;4;0;94
314580 Onça de Pitangui;3;5;14;13;8;11;6;7;19;12;26;15;2;2;5;4;3;6;0;161
314585 Oratórios;9;50;41;28;17;21;20;32;34;21;29;15;10;7;10;10;5;9;0;368
314587 Orizânia;3;17;17;11;9;23;37;26;16;6;0;5;3;1;0;1;2;2;0;179
314590 Ouro Branco;255;1.171;1.335;1.123;1.135;1.418;1.804;2.162;2.117;1.224;1.050;956;869;538;314;145;92;102;0;17.810
314600 Ouro Fino;60;252;226;199;193;240;343;369;380;258;237;197;202;155;141;116;77;100;0;3.745
314610 Ouro Preto;244;1.470;1.542;1.326;1.339;1.659;2.122;2.483;2.466;1.763;1.642;1.531;1.266;966;731;509;394;488;0;23.941
314620 Ouro Verde de Minas;6;14;19;11;5;8;13;24;21;9;7;6;4;7;5;1;3;5;0;168
314625 Padre Carvalho;1;5;6;5;4;5;18;12;11;5;0;3;1;3;0;0;0;0;0;79
314630 Padre Paraíso;18;56;37;28;27;28;64;80;46;35;29;23;19;11;1;7;9;23;0;541
314655 Pai Pedro;0;0;4;1;0;0;0;7;2;0;0;0;0;0;0;0;0;0;0;14
314640 Paineiras;4;23;20;22;21;18;30;27;33;16;32;17;16;11;9;12;5;7;0;323
314650 Pains;11;69;72;70;75;104;146;142;147;118;97;106;70;59;33;34;17;32;0;1.402
314660 Paiva;0;2;3;3;2;2;1;4;4;3;2;3;1;3;2;3;2;8;0;48
314670 Palma;3;7;7;14;11;10;12;21;18;9;12;13;20;21;29;15;12;16;0;250
314675 Palmópolis;0;1;5;0;2;0;2;1;1;3;2;1;0;0;0;0;1;0;0;19
314690 Papagaios;3;42;73;62;63;82;83;96;82;86;82;88;61;40;30;47;26;26;0;1.072
314710 Pará de Minas;343;1.635;1.823;1.682;1.684;2.260;2.578;2.774;2.699;2.051;1.804;1.567;1.288;966;667;538;386;528;0;27.273
314700 Paracatu;363;1.459;1.508;1.341;1.284;1.528;2.012;2.192;1.881;1.333;1.134;846;593;403;242;157;168;183;0;18.627
314720 Paraguaçu;54;191;271;225;228;223;265;330;335;260;209;212;192;141;163;119;82;90;0;3.590
314730 Paraisópolis;49;249;373;326;345;431;433;530;516;482;374;260;156;107;77;49;36;36;0;4.829
314740 Paraopeba;45;279;311;306;261;263;379;432;415;289;314;307;174;121;64;61;47;82;0;4.150
314760 Passa Quatro;29;187;253;258;289;322;307;352;363;286;405;276;297;246;213;148;78;118;0;4.427
314770 Passa Tempo;11;68;77;66;58;54;87;95;87;76;61;59;41;31;16;12;12;17;0;928
314780 Passa-Vinte;0;5;13;7;6;4;2;1;11;10;6;7;2;2;2;3;2;1;0;84
314750 Passabém;1;2;6;6;5;5;7;6;4;4;5;10;6;3;8;4;3;6;0;91
314790 Passos;388;1.731;1.735;1.422;1.243;1.462;2.068;2.200;2.163;1.701;1.380;1.319;1.183;1.074;837;735;527;659;0;23.827
314795 Patis;0;2;6;2;1;1;2;1;5;3;3;0;0;1;1;0;0;0;0;28
314800 Patos de Minas;401;2.009;1.951;1.544;1.653;2.558;3.341;3.562;3.172;2.380;2.121;1.826;1.414;992;700;473;379;533;0;31.009
314810 Patrocínio;359;1.330;1.019;704;672;917;1.310;1.336;1.150;779;679;547;450;375;313;227;181;281;0;12.629
314820 Patrocínio do Muriaé;6;30;33;22;19;15;18;29;40;21;15;13;14;13;10;7;9;10;0;324
314830 Paula Cândido;6;24;21;15;33;20;41;39;42;28;30;27;29;24;28;15;10;21;0;453
314840 Paulistas;2;21;20;22;23;18;19;12;19;19;13;7;11;5;4;2;2;2;0;221
314850 Pavão;1;20;21;21;10;19;39;35;23;22;23;22;18;12;9;13;14;20;0;342
314860 Peçanha;7;86;99;80;79;61;84;87;84;77;50;48;47;34;23;21;16;29;0;1.012
314870 Pedra Azul;12;88;103;113;154;129;123;149;171;147;154;99;60;47;29;32;21;34;0;1.665
314875 Pedra Bonita;0;4;4;1;1;3;3;5;3;1;1;1;1;1;1;0;1;0;0;31
314880 Pedra do Anta;2;8;4;4;8;6;8;8;14;14;6;6;9;6;3;5;3;4;0;118
314890 Pedra do Indaiá;20;73;84;97;94;101;122;129;125;93;117;100;78;63;64;49;35;53;0;1.497
314900 Pedra Dourada;3;5;1;6;2;9;7;7;3;2;2;4;1;1;1;1;4;3;0;62
314910 Pedralva;19;69;99;116;131;132;147;140;151;148;124;98;86;62;61;36;33;33;0;1.685
314915 Pedras de Maria da Cruz;1;1;2;4;4;2;3;2;3;2;3;3;2;1;1;0;1;0;0;35
314920 Pedrinópolis;4;17;21;16;9;20;35;30;28;16;22;16;12;11;4;4;5;3;0;273
314930 Pedro Leopoldo;218;1.166;1.247;1.136;1.085;1.264;1.720;1.924;1.814;1.403;1.176;1.083;838;547;405;274;211;392;0;17.903
314940 Pedro Teixeira;0;1;1;0;2;1;2;1;3;2;1;1;0;2;3;1;0;1;0;22
314950 Pequeri;4;30;35;27;24;26;25;31;37;53;26;26;32;22;24;28;11;25;0;486
314960 Pequi;2;17;24;11;8;18;16;22;17;10;13;16;20;21;14;10;15;10;0;264
314970 Perdigão;40;145;205;184;181;142;211;269;270;235;217;188;151;151;101;109;75;60;0;2.934
314980 Perdizes;17;70;77;53;60;78;130;119;103;86;68;57;45;29;31;15;9;11;0;1.058
314990 Perdões;30;197;199;176;168;160;268;280;265;190;159;150;117;93;58;40;32;54;0;2.636
314995 Periquito;11;55;76;83;84;72;55;92;64;51;53;43;28;18;6;6;5;2;0;804
315000 Pescador;5;4;17;11;8;8;7;11;11;7;8;9;3;2;4;6;5;1;0;127
315010 Piau;2;17;19;17;12;10;17;16;23;18;17;22;19;21;11;10;14;17;0;282
315015 Piedade de Caratinga;1;14;9;10;5;12;11;10;9;7;6;8;4;1;7;2;1;4;0;121
315020 Piedade de Ponte Nova;7;29;22;21;15;34;29;34;37;21;24;22;18;19;4;9;17;17;0;379
315030 Piedade do Rio Grande;1;2;3;4;4;3;10;3;10;3;2;6;5;11;7;4;1;7;0;86
315040 Piedade dos Gerais;0;4;6;5;7;6;14;5;7;10;11;8;3;2;6;3;0;0;0;97
315050 Pimenta;6;21;29;16;42;57;68;47;47;35;25;35;21;16;9;4;4;6;0;488
315053 Pingo-d'Água;9;47;67;81;66;23;39;68;85;64;56;31;26;14;3;1;0;1;0;681
315057 Pintópolis;1;2;1;3;3;1;5;2;4;2;0;1;2;0;0;0;0;0;0;27
315060 Piracema;2;18;19;16;23;29;25;36;29;14;31;27;30;29;29;18;17;15;0;407
315070 Pirajuba;43;132;155;110;119;157;214;309;216;158;131;104;79;47;37;18;8;17;0;2.054
315080 Piranga;4;25;16;15;17;21;36;41;31;23;19;25;18;24;13;7;16;25;0;376
315090 Piranguçu;9;50;87;60;81;72;89;89;94;82;63;54;47;31;19;20;7;21;0;975
315100 Piranguinho;30;127;159;166;180;182;178;249;262;194;177;147;119;78;75;44;44;37;0;2.448
315110 Pirapetinga;25;152;146;110;113;173;165;211;204;171;137;132;81;51;49;35;31;26;0;2.012
315120 Pirapora;84;503;618;613;508;499;687;864;855;579;489;436;308;245;169;137;93;152;0;7.839
315130 Piraúba;17;75;86;96;106;119;130;139;128;106;121;135;118;99;86;60;47;88;0;1.756
315140 Pitangui;132;440;506;463;403;616;647;693;649;483;487;441;329;267;190;144;112;189;0;7.191
315150 Piumhi;52;200;219;188;199;294;347;356;312;260;214;264;208;179;157;127;84;114;0;3.774
315160 Planura;41;194;218;167;160;212;322;358;292;222;152;126;98;78;45;22;17;17;0;2.741
315170 Poço Fundo;32;158;187;138;134;157;182;179;169;157;173;191;173;158;150;96;66;98;0;2.598
315180 Poços de Caldas;881;4.400;5.205;4.789;4.968;4.816;5.450;6.996;7.639;6.122;5.610;5.236;4.281;3.541;2.409;1.571;1.156;1.741;0;76.811
315190 Pocrane;0;9;10;6;13;13;13;16;15;13;5;5;4;2;4;4;2;5;0;139
315200 Pompéu;31;142;140;144;126;235;303;307;335;262;238;243;197;113;84;73;65;83;0;3.121
315210 Ponte Nova;263;945;1.017;854;810;965;1.182;1.339;1.289;979;962;904;765;651;545;431;342;622;0;14.865
315213 Ponto Chique;0;1;0;1;1;1;1;0;2;1;0;1;0;0;1;0;0;0;0;10
315217 Ponto dos Volantes;3;17;12;12;7;11;18;19;15;9;15;9;11;4;1;1;1;1;0;166
315220 Porteirinha;15;81;99;68;63;96;132;159;135;72;58;39;41;46;39;20;11;17;0;1.191
315230 Porto Firme;2;17;9;7;6;12;13;18;17;14;9;4;14;8;3;5;8;12;0;178
315240 Poté;7;38;41;20;21;21;53;48;44;24;21;14;19;14;9;3;5;9;0;411
315250 Pouso Alegre;818;3.673;4.052;3.579;3.717;4.669;5.501;6.127;5.640;4.257;3.619;3.145;2.279;1.695;1.152;782;582;839;0;56.126
315260 Pouso Alto;24;99;151;120;123;187;175;193;173;141;178;123;149;108;65;58;44;60;0;2.171
315270 Prados;10;83;67;61;50;46;68;105;96;67;59;64;38;37;27;22;8;18;0;926
315280 Prata;45;252;308;266;236;384;456;429;377;286;227;172;152;97;52;37;29;31;0;3.836
315290 Pratápolis;8;34;37;35;28;35;44;58;47;40;34;41;32;35;40;45;27;51;0;671
315300 Pratinha;3;19;9;11;11;17;20;19;9;9;6;3;9;3;1;1;2;1;0;153
315310 Presidente Bernardes;2;16;12;7;14;14;10;10;9;15;13;13;11;11;11;15;9;14;0;206
315320 Presidente Juscelino;2;5;4;2;2;4;7;10;8;5;4;5;2;5;3;1;4;2;0;75
315330 Presidente Kubitschek;0;3;5;5;4;2;13;9;6;5;2;2;0;2;0;0;0;1;0;59
315340 Presidente Olegário;14;51;59;32;40;101;124;119;127;84;82;48;29;18;9;9;7;8;0;961
315360 Prudente de Morais;26;92;125;91;94;122;170;154;147;100;88;92;83;47;28;19;16;34;0;1.528
315370 Quartel Geral;4;24;34;27;22;35;38;27;25;17;30;17;12;8;6;4;1;6;0;337
315380 Queluzito;1;3;3;5;6;5;7;6;3;6;7;5;6;2;5;2;2;3;0;77
315390 Raposos;45;297;332;249;255;379;442;574;506;400;301;185;140;89;57;30;16;34;0;4.331
315400 Raul Soares;14;77;68;71;79;82;102;137;110;86;78;99;77;69;48;40;48;61;0;1.346
315410 Recreio;3;19;24;34;26;30;46;44;38;38;37;39;31;33;37;27;44;54;0;604
315415 Reduto;9;27;36;22;20;21;30;41;30;29;16;20;6;13;6;7;11;9;0;353
315420 Resende Costa;5;72;58;47;49;51;63;99;79;57;54;49;39;36;37;19;20;23;0;857
315430 Resplendor;26;142;155;114;107;88;124;163;135;121;122;90;104;102;82;87;64;114;0;1.940
315440 Ressaquinha;4;36;33;18;14;15;34;30;34;18;12;18;27;16;12;14;6;9;0;350
315445 Riachinho;1;6;3;7;8;8;13;13;5;5;5;3;2;1;1;1;0;0;0;82
315450 Riacho dos Machados;12;49;56;47;40;85;95;82;59;33;33;12;13;9;6;1;0;0;0;632
315460 Ribeirão das Neves;919;4.367;4.543;3.810;3.881;5.424;6.607;6.884;6.501;4.876;3.663;2.801;1.966;1.327;723;404;222;309;0;59.227
315470 Ribeirão Vermelho;11;64;56;51;37;48;69;90;73;46;30;29;41;30;18;14;28;55;0;790
315480 Rio Acima;26;145;136;113;155;138;244;256;240;171;140;108;81;66;42;35;25;24;0;2.145
315490 Rio Casca;19;67;84;72;65;67;84;93;135;99;76;82;75;69;50;39;31;73;0;1.280
315510 Rio do Prado;0;8;7;4;6;5;4;12;6;3;5;4;3;2;1;1;0;1;0;72
315500 Rio Doce;3;17;15;26;12;27;30;29;30;10;15;15;15;7;12;3;10;16;0;292
315520 Rio Espera;2;6;4;3;8;3;8;5;7;9;6;5;3;4;5;4;5;3;0;90
315530 Rio Manso;2;19;16;17;16;12;14;29;33;19;21;8;10;11;5;6;7;4;0;249
315540 Rio Novo;15;74;52;56;42;67;52;68;64;43;48;54;39;36;48;39;26;34;0;857
315550 Rio Paranaíba;19;55;45;47;31;54;89;117;128;70;54;32;30;17;11;8;9;4;0;820
315560 Rio Pardo de Minas;2;17;18;20;15;32;24;33;31;16;18;25;9;5;3;5;2;3;0;278
315570 Rio Piracicaba;36;201;214;229;201;279;274;330;324;252;228;191;122;78;53;64;45;55;1;3.177
315580 Rio Pomba;27;158;151;149;148;167;220;251;246;191;206;186;173;195;151;106;113;149;0;2.987
315590 Rio Preto;8;17;27;25;21;9;25;24;19;21;25;21;29;20;24;22;11;19;0;367
315600 Rio Vermelho;4;15;20;10;15;16;17;19;19;19;10;10;6;6;3;1;1;5;0;196
315610 Ritápolis;0;3;7;16;16;21;11;21;19;14;13;9;11;16;17;14;13;22;0;243
315620 Rochedo de Minas;4;21;15;19;9;20;24;25;20;19;17;24;23;18;14;7;4;10;0;293
315630 Rodeiro;32;149;184;182;190;183;221;236;255;188;214;167;140;109;92;73;50;53;0;2.718
315640 Romaria;3;12;14;22;12;15;31;27;23;17;15;14;13;9;6;7;5;1;0;246
315645 Rosário da Limeira;2;13;18;8;5;6;13;17;13;4;7;7;4;5;1;0;1;3;0;127
315650 Rubelita;1;3;9;4;5;1;4;8;10;5;4;6;3;0;0;0;0;1;0;64
315660 Rubim;2;10;13;17;12;10;13;19;15;9;14;23;17;10;10;6;11;13;0;224
315670 Sabará;470;2.256;2.312;2.047;2.152;2.571;2.989;3.499;3.567;2.713;2.279;2.147;1.513;1.026;759;549;416;608;0;33.873
315680 Sabinópolis;11;78;100;89;69;80;84;87;80;75;62;50;31;35;24;13;21;27;0;1.016
315690 Sacramento;66;274;197;199;212;405;451;506;435;331;248;265;201;135;121;96;79;107;0;4.328
315700 Salinas;27;118;146;153;171;194;242;279;237;213;170;161;115;92;74;48;36;48;0;2.524
315710 Salto da Divisa;7;35;53;52;36;38;48;62;65;30;17;14;11;8;3;1;1;5;0;486
315720 Santa Bárbara;165;869;1.068;924;959;994;1.268;1.508;1.490;1.031;793;692;436;232;139;89;73;92;0;12.822
315725 Santa Bárbara do Leste;1;11;11;6;12;11;13;15;21;15;9;6;7;5;6;3;3;3;0;158
315727 Santa Bárbara do Monte Verde;1;5;11;10;9;4;7;5;11;8;9;5;3;0;0;2;2;1;0;93
315730 Santa Bárbara do Tugúrio;4;9;5;9;24;16;15;16;11;16;12;16;17;10;16;9;3;7;0;215
315733 Santa Cruz de Minas;24;76;88;78;73;69;92;97;92;68;68;65;45;44;30;13;10;20;0;1.052
315737 Santa Cruz de Salinas;0;1;0;1;1;3;1;1;3;2;0;0;0;0;1;0;0;0;0;14
315740 Santa Cruz do Escalvado;3;14;12;12;11;10;12;10;17;14;9;9;6;4;5;6;2;8;0;164
315750 Santa Efigênia de Minas;2;7;14;9;8;4;8;5;5;5;8;4;1;3;2;2;1;0;0;88
315760 Santa Fé de Minas;0;3;2;1;0;4;9;7;3;2;3;4;1;1;1;2;0;0;0;43
315765 Santa Helena de Minas;1;7;7;5;4;7;7;14;12;7;3;1;0;2;1;0;0;0;0;78
315770 Santa Juliana;44;219;254;201;154;226;278;314;265;239;176;168;106;72;64;41;25;28;0;2.874
315780 Santa Luzia;717;3.575;3.873;3.431;3.397;3.882;5.078;5.800;5.827;4.406;3.382;2.684;1.971;1.316;851;585;375;445;0;51.595
315790 Santa Margarida;5;48;31;26;18;46;46;44;36;24;20;36;13;12;18;9;11;16;0;459
315800 Santa Maria de Itabira;7;81;73;82;83;87;111;101;99;95;89;78;67;47;37;31;27;50;0;1.245
315810 Santa Maria do Salto;0;3;2;1;4;3;8;5;4;5;3;1;1;0;2;1;0;0;0;43
315820 Santa Maria do Suaçuí;7;34;42;24;30;26;29;49;40;38;36;30;27;25;25;28;20;29;0;539
315920 Santa Rita de Caldas;18;77;63;46;39;56;53;87;67;64;58;68;64;55;43;49;36;45;0;988
315940 Santa Rita de Ibitipoca;1;6;3;5;2;5;6;3;4;4;8;3;2;5;5;2;1;2;0;67
315930 Santa Rita de Jacutinga;1;13;18;10;16;12;12;22;26;11;11;14;10;13;14;10;7;8;0;228
315935 Santa Rita de Minas;5;25;27;15;10;22;31;33;25;19;23;14;7;11;4;6;7;10;0;294
315950 Santa Rita do Itueto;2;5;2;5;2;5;1;4;9;3;2;4;3;3;6;3;2;5;0;66
315960 Santa Rita do Sapucaí;171;765;794;744;817;1.106;1.272;1.328;1.283;834;679;569;426;317;166;137;93;115;0;11.616
315970 Santa Rosa da Serra;0;9;7;4;2;3;13;9;8;9;1;7;4;5;3;3;1;4;0;92
315980 Santa Vitória;86;348;362;257;218;313;419;439;389;292;209;153;93;41;21;23;9;12;0;3.684
315830 Santana da Vargem;13;66;70;63;51;79;100;117;105;76;78;98;81;66;57;58;29;42;0;1.249
315840 Santana de Cataguases;2;11;17;5;9;27;20;19;17;15;11;5;7;4;5;2;3;10;0;189
315850 Santana de Pirapama;0;6;9;20;11;5;11;9;14;17;9;10;4;7;8;7;3;8;0;158
315860 Santana do Deserto;3;15;14;9;11;20;22;20;25;19;12;18;12;8;6;16;8;8;0;246
315870 Santana do Garambéu;0;5;6;8;11;7;14;5;29;14;14;11;14;7;14;14;1;4;0;178
315880 Santana do Jacaré;2;8;9;11;17;23;21;19;17;23;16;20;25;12;15;6;10;14;0;268
315890 Santana do Manhuaçu;3;24;27;24;16;8;31;45;25;24;17;16;13;14;11;7;7;16;0;328
315895 Santana do Paraíso;203;800;737;600;488;697;1.069;1.384;1.145;721;514;370;201;139;63;62;30;43;0;9.266
315900 Santana do Riacho;2;37;27;28;19;18;31;43;37;23;21;15;14;14;12;4;1;3;0;349
315910 Santana dos Montes;3;5;2;2;6;2;5;7;5;9;3;3;6;1;1;0;0;5;0;65
315990 Santo Antônio do Amparo;7;51;54;62;50;63;81;103;97;69;59;59;57;32;29;17;15;15;0;920
316000 Santo Antônio do Aventureiro;1;3;6;8;5;4;8;7;9;9;7;9;5;5;4;8;9;10;0;117
316010 Santo Antônio do Grama;9;24;26;20;11;18;23;28;24;18;13;18;7;7;12;15;11;14;0;298
316020 Santo Antônio do Itambé;0;0;4;3;4;4;1;2;2;2;2;3;3;1;1;2;0;0;0;34
316030 Santo Antônio do Jacinto;0;7;6;5;7;4;19;8;11;8;8;4;4;4;1;3;1;3;0;103
316040 Santo Antônio do Monte;106;474;588;535;580;583;742;736;772;557;516;545;500;408;352;252;194;255;0;8.695
316045 Santo Antônio do Retiro;0;2;3;5;1;0;3;3;5;3;0;0;0;1;0;0;0;0;0;26
316050 Santo Antônio do Rio Abaixo;0;2;3;1;3;7;4;4;2;3;2;2;2;5;5;1;1;1;0;48
316060 Santo Hipólito;0;9;0;2;4;10;5;7;3;6;1;7;12;4;0;3;3;3;0;79
316070 Santos Dumont;136;676;759;650;669;888;944;1.094;1.047;829;755;824;605;500;398;318;238;390;0;11.720
316080 São Bento Abade;1;6;4;8;5;7;10;4;9;11;4;3;2;2;5;0;0;1;0;82
316090 São Brás do Suaçuí;8;54;50;44;46;65;98;89;90;54;37;49;23;20;11;7;7;9;0;761
316095 São Domingos das Dores;1;10;8;7;3;4;9;13;13;8;3;5;4;2;1;1;1;2;0;95
316100 São Domingos do Prata;102;376;280;245;239;233;295;312;322;219;231;210;220;136;87;75;76;122;0;3.780
316105 São Félix de Minas;4;6;15;6;2;1;8;6;13;6;3;5;3;1;2;2;3;1;0;87
316110 São Francisco;10;44;49;51;49;54;73;87;72;51;40;41;47;36;27;15;10;12;0;768
316120 São Francisco de Paula;7;32;32;42;45;40;56;71;73;35;19;23;23;17;13;7;10;8;0;553
316130 São Francisco de Sales;27;107;141;90;82;106;169;207;155;104;88;81;65;24;18;6;8;2;0;1.480
316140 São Francisco do Glória;1;4;4;3;3;6;1;9;7;4;2;5;3;2;3;2;2;1;0;62
316150 São Geraldo;4;20;23;34;28;25;49;50;37;35;35;18;19;19;16;6;16;15;0;449
316160 São Geraldo da Piedade;4;17;29;37;25;10;11;30;21;21;12;14;9;10;4;5;5;3;0;267
316165 São Geraldo do Baixio;1;3;7;1;1;5;11;4;3;1;0;3;3;3;3;2;2;1;0;54
316170 São Gonçalo do Abaeté;5;37;42;34;30;60;75;99;86;50;49;25;29;15;13;6;5;8;0;668
316180 São Gonçalo do Pará;35;215;255;235;261;275;318;363;405;309;329;303;291;203;157;135;109;121;0;4.319
316190 São Gonçalo do Rio Abaixo;55;275;227;182;291;171;304;437;509;294;247;214;147;84;57;42;25;43;0;3.604
312550 São Gonçalo do Rio Preto;0;2;1;3;1;1;7;0;2;1;2;5;7;2;2;0;3;1;0;40
316200 São Gonçalo do Sapucaí;36;107;130;127;140;128;188;225;205;189;145;123;103;80;77;59;41;78;0;2.181
316210 São Gotardo;44;206;215;170;175;269;360;405;356;250;215;180;172;122;90;52;44;66;0;3.391
316220 São João Batista do Glória;10;28;27;28;24;28;57;41;24;36;29;18;25;15;17;13;9;19;0;448
316225 São João da Lagoa;2;4;1;0;3;1;2;4;4;2;3;4;0;1;1;0;2;0;0;34
316230 São João da Mata;5;16;13;19;9;18;29;25;19;11;14;14;12;11;9;6;5;2;0;237
