Município;Até 1 ano;1 a 4 anos;5 a 9 anos;10 a 14 anos;15 a 19 anos;20 a 24 anos;25 a 29 anos;30 a 34 anos;35 a 39 anos;40 a 44 anos;45 a 49 anos;50 a 54 anos;55 a 59 anos;60 a 64 anos;65 a 69 anos;70 a 74 anos;75 a 79 anos;80 anos ou mais;Inconsistente;Total
261630 Vicência;1;18;36;28;22;32;32;33;40;34;23;29;31;10;8;10;3;3;0;393
261640 Vitória de Santo Antão;229;1.169;1.157;914;816;1.246;1.707;1.730;1.412;916;682;575;463;302;211;158;104;169;1;13.961
261650 Xexéu;0;5;2;6;4;3;6;10;5;4;1;2;4;3;1;0;0;0;0;56
260000 Município ignorado - PE;0;0;1;4;9;6;2;3;3;13;11;20;23;19;23;9;5;5;0;156
270010 Água Branca;2;14;5;7;4;10;28;27;29;24;16;29;17;18;10;6;6;5;0;257
270020 Anadia;5;33;26;22;17;19;28;35;25;29;20;22;18;19;16;7;5;9;0;355
270030 Arapiraca;495;2.105;1.855;1.161;992;1.630;2.464;2.513;1.996;1.412;935;881;693;510;369;275;157;230;0;20.673
270040 Atalaia;17;110;120;91;54;65;88;113;92;71;57;38;46;31;13;17;14;22;0;1.059
270050 Barra de Santo Antônio;7;47;44;31;21;19;26;29;25;28;17;13;12;8;3;2;4;0;0;336
270060 Barra de São Miguel;14;56;56;35;32;47;44;53;45;43;40;34;34;27;19;8;3;6;0;596
270070 Batalha;4;28;30;20;25;23;31;28;32;21;17;18;20;23;14;7;10;16;0;367
270080 Belém;1;288;1.276;1.246;1.188;1.185;1.159;979;922;781;693;492;302;208;137;80;72;108;0;11.117
270090 Belo Monte;1;5;4;2;1;1;2;7;2;4;3;4;2;2;1;2;0;0;0;43
270100 Boca da Mata;17;73;103;103;106;98;90;113;131;138;129;83;79;46;31;23;13;22;0;1.398
270110 Branquinha;2;4;4;1;5;4;4;3;4;3;3;1;2;1;1;0;0;0;0;42
270120 Cacimbinhas;1;22;33;11;14;9;9;23;22;22;18;13;8;8;4;2;1;3;0;223
270130 Cajueiro;8;37;58;46;27;27;39;54;57;47;59;37;29;27;18;9;5;10;0;594
270135 Campestre;4;5;8;9;9;8;14;22;14;14;11;10;6;5;3;1;1;5;0;149
270140 Campo Alegre;8;38;51;45;24;29;33;46;64;68;44;36;18;14;7;9;3;10;0;547
270150 Campo Grande;4;20;28;46;36;87;87;85;60;53;54;55;44;33;19;19;12;21;0;763
270160 Canapi;1;11;15;9;10;3;8;15;9;5;2;3;9;5;2;3;3;4;0;117
270170 Capela;7;45;72;40;33;29;34;56;62;40;27;38;27;13;12;5;7;7;0;554
270180 Carneiros;0;5;4;4;1;0;1;6;6;4;3;2;2;0;0;0;0;0;0;38
270190 Chã Preta;1;6;7;3;9;4;3;6;1;5;6;4;9;6;0;1;0;6;0;77
270200 Coité do Nóia;2;12;14;8;2;3;18;15;12;6;3;3;3;6;2;1;1;2;0;113
270210 Colônia Leopoldina;2;11;16;10;6;13;16;15;20;18;12;6;14;7;10;5;3;2;0;186
270220 Coqueiro Seco;7;33;50;29;26;28;34;45;39;29;27;17;10;13;6;5;2;8;0;408
270230 Coruripe;20;112;146;127;121;118;170;176;182;157;150;116;81;64;37;22;18;20;0;1.837
270235 Craíbas;6;38;28;6;5;15;52;34;20;12;9;4;3;5;2;2;1;0;0;242
270240 Delmiro Gouveia;11;74;125;108;78;89;140;189;140;120;92;89;85;62;55;31;18;35;0;1.541
270250 Dois Riachos;1;3;5;1;5;4;5;6;4;3;2;4;2;4;3;0;0;1;0;53
270255 Estrela de Alagoas;0;16;20;13;13;9;11;17;20;29;14;6;8;6;2;2;1;0;0;187
270260 Feira Grande;8;25;27;12;14;21;26;51;26;30;12;26;23;7;2;2;2;2;0;316
270270 Feliz Deserto;0;8;8;1;1;1;1;5;7;1;3;0;1;0;4;0;0;2;0;43
270280 Flexeiras;1;19;27;14;12;10;14;9;17;12;15;7;6;10;10;3;3;0;0;189
270290 Girau do Ponciano;3;31;24;6;10;27;35;35;16;17;6;14;10;6;2;2;5;0;0;249
270300 Ibateguara;1;13;17;14;14;15;17;17;15;25;15;17;6;7;4;1;5;1;0;204
270310 Igaci;6;28;38;18;15;23;25;27;19;19;23;27;9;11;4;1;4;3;0;300
270320 Igreja Nova;1;5;9;4;2;6;8;9;6;4;6;8;9;4;3;5;1;2;0;92
270330 Inhapi;0;2;5;2;2;2;5;6;6;4;2;2;3;1;3;0;1;2;0;48
270340 Jacaré dos Homens;1;9;4;6;1;5;11;5;5;7;3;10;6;7;2;7;0;3;0;92
270350 Jacuípe;0;1;2;1;0;1;2;0;4;2;0;2;0;1;0;0;1;0;0;17
270360 Japaratinga;0;5;4;11;5;14;13;12;11;8;8;9;10;6;4;5;0;2;0;127
270370 Jaramataia;2;8;5;4;1;4;4;4;1;2;2;1;0;1;0;1;0;0;0;40
270375 Jequiá da Praia;1;6;9;6;11;7;7;10;14;12;13;6;4;13;8;3;1;0;0;131
270380 Joaquim Gomes;3;13;15;10;4;8;8;6;16;14;7;5;3;1;3;2;2;0;0;120
